ordinal,target_timestamp_utc,roles,day_utc,bracket_start_block,bracket_end_block_exclusive,predecessor_block,predecessor_hash,predecessor_timestamp_utc,chosen_block,chosen_hash,chosen_timestamp_utc,predecessor_lt_target,chosen_gte_target,parent_hash_match,chosen_minus_target_seconds,target_minus_predecessor_seconds
10,2025-07-20T13:00:00Z,baseline_close_11,2025-07-20,359505268,359851362,359692705,0x96753f6408eaec5e377257affab6707a984bdf8f2482d077043755bd256c5b42,2025-07-20T12:59:59Z,359692706,0x5a317156b383a7ed21ccbbb54a93c334f3e9f93dc68d7d938229a5dafed08724,2025-07-20T13:00:00Z,True,True,True,0,1
11,2025-07-21T13:00:00Z,baseline_close_12,2025-07-21,359851362,360197467,360038824,0x1a5ff1e33d489173f198be972bc381b85e92a2e91ccbe72778a29f225293ac5a,2025-07-21T12:59:59Z,360038825,0xd0d008c13e8268c17c99bd387c2f464a353336f67c4b25a6c7061cb337fccb46,2025-07-21T13:00:00Z,True,True,True,0,1
12,2025-07-22T13:00:00Z,baseline_close_13,2025-07-22,360197467,360543613,360384978,0x7808bd8b8c68d6c2bfa6f5059c2e4d25d77ba09feb845149c1abc545b489fd83,2025-07-22T12:59:59Z,360384979,0x9e4a1f8a908cba2405730e11bb0d7499d5991a5f5c208baf98b25de2d7b57a7f,2025-07-22T13:00:00Z,True,True,True,0,1
13,2025-07-23T13:00:00Z,baseline_close_14,2025-07-23,360543613,360889715,360731012,0x075cfe9fb41f966096fd41fc7c7a700c3fd9779d9dedf8830d88ab71d6686d1b,2025-07-23T12:59:59Z,360731013,0x9fe7524d3f5912338335ecddb5afbfe8e351b2aeec7c3b0f7bf01d9ab8cead52,2025-07-23T13:00:00Z,True,True,True,0,1
14,2025-07-24T13:00:00Z,baseline_close_15,2025-07-24,360889715,361235913,361077214,0x6e26908f71cad59c82d15f70245faa68be155183f2e2bb78ecf953631d31b9bd,2025-07-24T12:59:59Z,361077215,0x5d2ae763e3640686137362c803ada7fd1a54b9a301f4ca7b0f8e87951620b7c1,2025-07-24T13:00:00Z,True,True,True,0,1
15,2025-07-25T13:00:00Z,baseline_close_16,2025-07-25,361235913,361582107,361423485,0x861269962a856bd815ca11e5108dc92b11e324a47bc843857bb0f1a1eda371e0,2025-07-25T12:59:59Z,361423486,0x76ac756e20d89cbd617a56560c52ab4e989033b80525c62cfea956d660824ecb,2025-07-25T13:00:00Z,True,True,True,0,1
16,2025-07-26T13:00:00Z,baseline_close_17,2025-07-26,361582107,361927936,361769448,0x95ee0906e25b456b4bdefc0740faf6242ac92618fa617db070ff28df58f40591,2025-07-26T12:59:59Z,361769449,0xa4ecb2d46315a0b53d877607902825176d0622badcd9ab353266ac9a52b7edba,2025-07-26T13:00:00Z,True,True,True,0,1
17,2025-07-27T13:00:00Z,baseline_close_18,2025-07-27,361927936,362273851,362115291,0xeca00ea48dc5b59876a011d55abf011cafb4983bb0ef0072d909184d930d5adb,2025-07-27T12:59:59Z,362115292,0x49ec3913725d9c1846aa56660b889f62f14578d52917f70f1d23a936a4b2d571,2025-07-27T13:00:00Z,True,True,True,0,1
18,2025-07-28T13:00:00Z,baseline_close_19,2025-07-28,362273851,362619997,362461302,0x9fb66d96d08118dbd996a881d78f7cad65c8d347ff057834b6473a7f68119f70,2025-07-28T12:59:59Z,362461303,0x283dc3e78b17ed5a68a13132bcee52e589a5c244e4b120f79fbcbe5f80f374ba,2025-07-28T13:00:00Z,True,True,True,0,1
19,2025-07-29T13:00:00Z,baseline_close_20,2025-07-29,362619997,362966013,362807425,0xc043836a79133d352113fcbfe9ef948be03370937eed1494d8aa24ecb74ed4f0,2025-07-29T12:59:59Z,362807426,0x96524b942f8337b95370bd77df798a0955298d720f0bb033a63387edc676e5ae,2025-07-29T13:00:00Z,True,True,True,0,1
20,2025-07-30T13:00:00Z,baseline_close_21,2025-07-30,362966013,363311991,363153404,0xe713614b7710a1c15774e3f223827a189178e896f262b7488e517b37e940402c,2025-07-30T12:59:59Z,363153405,0xaefd3aa0c567607fd8bc72c70cec305d14fc5f633da32abcbe772fa014033764,2025-07-30T13:00:00Z,True,True,True,0,1
21,2025-07-31T13:00:00Z,baseline_close_22,2025-07-31,363311991,363657956,363499365,0x343bfcf724cfb14677b5fc2394971b1046544667bcb8bd8a016505f4f6cc9d43,2025-07-31T12:59:59Z,363499366,0x816c6abf664661707fd574925defacab21de2ad386efbcd72030acbd5afd8e74,2025-07-31T13:00:00Z,True,True,True,0,1
22,2025-08-01T13:00:00Z,baseline_close_23,2025-08-01,363657956,364004153,363845455,0xcd0b6dfc61a7c7990966d27ef262b228dd1aaa2da94019c5510ce08bc8225bd2,2025-08-01T12:59:59Z,363845456,0x65edea66b332d89fa7d3ba1d886e5bacc4b528ecac0079d93d628ea0c36b82ec,2025-08-01T13:00:00Z,True,True,True,0,1
23,2025-08-02T13:00:00Z,baseline_close_24,2025-08-02,364004153,364349999,364191473,0x278f7421da52ed90fb892c710ad749faa003886a5a130172a6c1043838f5d449,2025-08-02T12:59:59Z,364191474,0x7e1920f3e71ce4ac1797ed7ddf5a80468c28c7f5ba80eed9273b5f52e7c6477f,2025-08-02T13:00:00Z,True,True,True,0,1
24,2025-08-03T13:00:00Z,baseline_close_25,2025-08-03,364349999,364695729,364537247,0x8bdc901383722520e3a0ebac78fc0cfac84f6b20d2e9554aad41cc39d2a6e457,2025-08-03T12:59:59Z,364537248,0xf4618908521c46fb21c2babe8976bf1e22d104c13c786ad657ff160c2d2facb1,2025-08-03T13:00:00Z,True,True,True,0,1
25,2025-08-04T13:00:00Z,baseline_close_26,2025-08-04,364695729,365041664,364883104,0xc07f2202e4fb3786708ea39370385b6cf2c19fff967b5c488e10b2c5bb1068e6,2025-08-04T12:59:59Z,364883105,0xfa12b8e83a7868eddad03b68be58d524692e4d8a16ae9b820bba6d3df18137ad,2025-08-04T13:00:00Z,True,True,True,0,1
26,2025-08-05T13:00:00Z,baseline_close_27,2025-08-05,365041664,365386229,365228376,0x0077643a5188c89af6279ccfb17602bbb4a7ff62d3d7a41967f48ce565b59885,2025-08-05T12:59:59Z,365228377,0x212236b31697b37375a5afb113d911567b98faf84a58a666393016aa2c523634,2025-08-05T13:00:00Z,True,True,True,0,1
27,2025-08-06T13:00:00Z,baseline_close_28,2025-08-06,365386229,365731022,365573101,0x0a8f752aa3d4d80d12de86b22527fc50c91c9934c222f115b588b42a6ba1141a,2025-08-06T12:59:59Z,365573102,0x86ffac1361217be7fc3ce54b736be60d593f16ab98da82aac03f7c81e2f3ec53,2025-08-06T13:00:00Z,True,True,True,0,1
28,2025-08-07T13:00:00Z,baseline_close_29,2025-08-07,365731022,366077343,365918768,0xfe2e5182c0492a9d2649f79f8427a4691fed35b547014108eb47be07516f7e90,2025-08-07T12:59:59Z,365918769,0x2537eb2fd4d7b8323883add535e8ba736a67cf1600b01771c9179ee4b57c736b,2025-08-07T13:00:00Z,True,True,True,0,1
29,2025-08-08T13:00:00Z,baseline_close_30,2025-08-08,366077343,366423714,366265128,0x25199acad63f44fbfa66938885e0c82c1eee2d7da05357c4f2709b597d2ad675,2025-08-08T12:59:59Z,366265129,0xe561a83147cc937444d707703685eab5f35285c28b9fec5d97a0a611032cc854,2025-08-08T13:00:00Z,True,True,True,0,1
30,2025-08-09T13:00:00Z,baseline_close_31,2025-08-09,366423714,366769921,366611278,0xfd45d268ab63fe5289ddec1a42b95f4bbf47346f987512ba940af162041d450b,2025-08-09T12:59:59Z,366611279,0x8baecc22de6e49521353457f454f6ebd7b7c86a9c0fc23320ea559ae70e29555,2025-08-09T13:00:00Z,True,True,True,0,1
31,2025-08-10T13:00:00Z,baseline_close_32,2025-08-10,366769921,367116113,366957507,0x75783c16b2e2923341820100a60026c2c0d8a00b7ddfcddb5c528a510e5216b1,2025-08-10T12:59:59Z,366957508,0x7de24e8bb09f3b06f3ffdc35d19c9acc57b86a32d9a25d1efce9a64be8f51437,2025-08-10T13:00:00Z,True,True,True,0,1
32,2025-08-11T13:00:00Z,baseline_close_33,2025-08-11,367116113,367462279,367303618,0xd6852062163c18b6314d1c65350d18936545256328c852f8708820358287a174,2025-08-11T12:59:59Z,367303619,0x0e1d0f4935c87cc9fd2cc391c5c0c7c0481cec1be340b326ffad85f957455766,2025-08-11T13:00:00Z,True,True,True,0,1
33,2025-08-12T13:00:00Z,baseline_close_34,2025-08-12,367462279,367808426,367649757,0x3f6344314b2a510bb00bfc755d077ab123072c47bad8333a2720a9927d30a552,2025-08-12T12:59:59Z,367649758,0x6e4698efe25cfbb84a3ebf4625aad1bb80e1e9204a8f58cffb0cd46ab5418ff1,2025-08-12T13:00:00Z,True,True,True,0,1
34,2025-08-13T13:00:00Z,baseline_close_35,2025-08-13,367808426,368154693,367995934,0xae25e5154a33df13f17127e08b70bca551a42c1bc2aaf5bd4ac62d3f8adc8cde,2025-08-13T12:59:59Z,367995935,0xbdbb396394d7b3672ff79aa08e9149993f38e1e2d4dd9fe9b4f07bb2d37ee594,2025-08-13T13:00:00Z,True,True,True,0,1
35,2025-08-14T13:00:00Z,baseline_close_36,2025-08-14,368154693,368500938,368342249,0xa7ff0a79d515e9f8a723541481a928bd20214db25e77e9f6b5c7cde43ca2a572,2025-08-14T12:59:59Z,368342250,0x68c099e83dd58f079ae5cea86ccebdef68f49e612d74b689102fea91442ff6ef,2025-08-14T13:00:00Z,True,True,True,0,1
36,2025-08-15T13:00:00Z,baseline_close_37,2025-08-15,368500938,368847079,368688421,0x70346254bb21ae8d4c82271d94112439fe7645ad9df5b6f46304084896dd0c91,2025-08-15T12:59:59Z,368688422,0x7faf4920bf03d9d2c50a18bbcf14083b8f6d644aad70668e8ff91abe4f5702aa,2025-08-15T13:00:00Z,True,True,True,0,1
37,2025-08-16T13:00:00Z,baseline_close_38,2025-08-16,368847079,369192930,369034505,0x745ba2323e61c042acc977fe55b082c8d30a6e72032c66d20f7001665a1ad544,2025-08-16T12:59:59Z,369034506,0xb038213a4452d28bc7ffdf972145bdc7bf7b3f7f07f0df55bcd8503b535bace8,2025-08-16T13:00:00Z,True,True,True,0,1
38,2025-08-17T13:00:00Z,baseline_close_39,2025-08-17,369192930,369538759,369380277,0xd768bda2c61ad65e5bfa386bd11b1400b67b00e89458d2b6ebd909d3b6c24daf,2025-08-17T12:59:59Z,369380278,0x619508e62f54453e7a973d5cb31714911e371aa1f3b6e5f5beb6ecf073c959e6,2025-08-17T13:00:00Z,True,True,True,0,1
39,2025-08-18T13:00:00Z,baseline_close_40,2025-08-18,369538759,369884732,369726292,0x977494d0143ab6c4ddbf1faab00462e203f08bf95519a1e1c433e5262c424f66,2025-08-18T12:59:59Z,369726293,0xf4d7471c32fce7a5fee732ddff5c429c79f9852ce009fddefe1aaef400baafeb,2025-08-18T13:00:00Z,True,True,True,0,1
40,2025-08-19T13:00:00Z,baseline_close_41,2025-08-19,369884732,370230808,370072193,0xb918a47da84866ba2a04242ed0e121f69193c8225cb5110f62b428c7f5f65995,2025-08-19T12:59:59Z,370072194,0x20b3d375959a8aae4ce8d8a70afd66376560e195589e203fbf5bd61be2bc009a,2025-08-19T13:00:00Z,True,True,True,0,1
41,2025-08-20T13:00:00Z,baseline_close_42,2025-08-20,370230808,370576898,370418254,0x171c1a2adaa6d0e7d4c9bf2bc0ab6527203418eb7e198cd5e39eed52fc746fa9,2025-08-20T12:59:59Z,370418255,0x094af50c18284fd3feb003156ced224d7aee37e0dffd84aad858b0c9e3bc9b52,2025-08-20T13:00:00Z,True,True,True,0,1
42,2025-08-21T13:00:00Z,baseline_close_43,2025-08-21,370576898,370923014,370764488,0x40167e9e0e47a27a8f2a4173ec2e506ddd88e3f0efda90c3822481f196c53fdb,2025-08-21T12:59:59Z,370764489,0x176c111112f49a2d52383e6b44771ba61bdfa62fabd2a0ca9aa5e27a2e6886a2,2025-08-21T13:00:00Z,True,True,True,0,1
43,2025-08-22T13:00:00Z,baseline_close_44,2025-08-22,370923014,371269165,371110537,0xa4ebb9748cd8faad4bcae7a61346302fafab73af361988f6c58843feec628ebd,2025-08-22T12:59:59Z,371110538,0x4b28f61c61dbf663cc4fb09da90e682571cab7685b816d94be6c6c5b0157b9dc,2025-08-22T13:00:00Z,True,True,True,0,1
44,2025-08-23T13:00:00Z,baseline_close_45,2025-08-23,371269165,371615100,371456630,0xb5b47f5c2bce50da4dc6596b244f11ccb807b5006c0d1c4e8e1e81bdf582c03b,2025-08-23T12:59:59Z,371456631,0xdbe0160c7017fa2d181d0d8b0173b7ecce7efdc272a5eea47aad9b6f2fd3e58e,2025-08-23T13:00:00Z,True,True,True,0,1
45,2025-08-24T13:00:00Z,baseline_close_46,2025-08-24,371615100,371961116,371802488,0xfdd7837a7bdad8b03ca6de1cc3497a924ed0649cae54235c9202c726cf9dd85a,2025-08-24T12:59:59Z,371802489,0xb641772fa99301115e39f9b4536da547ad70fa04cdc2e7e364d24472bb5f9027,2025-08-24T13:00:00Z,True,True,True,0,1
46,2025-08-25T13:00:00Z,baseline_close_47,2025-08-25,371961116,372307422,372148678,0xeb6e19ad0a89eac6eefce30745984160f60d28a75df57a9770154d23d8607792,2025-08-25T12:59:59Z,372148679,0x06fe293a16d9f5ee7eb9b2d26fb9a3b5e9ac2b4bd4ea08260b2604da699bb6e6,2025-08-25T13:00:00Z,True,True,True,0,1
47,2025-08-26T13:00:00Z,baseline_close_48,2025-08-26,372307422,372653657,372494986,0x4714d94427dac635dbcb28df4886145dbb4bba3b93cf20fbc833e107b4f3a999,2025-08-26T12:59:59Z,372494987,0x2637dd5f4f33a76f058740c48b3c7764144eaebf9eb220e0c2bd5f969bc57575,2025-08-26T13:00:00Z,True,True,True,0,1
48,2025-08-27T13:00:00Z,baseline_close_49,2025-08-27,372653657,372999830,372841193,0x9e4e0724b08ba2cb35c124a748901bea9181616ed62e9e14c54de8382a1e3bfa,2025-08-27T12:59:59Z,372841194,0x807f4f20ad15e0e67f31df8611f6ac147b078ff0aaae94352bac3a22ebebfce9,2025-08-27T13:00:00Z,True,True,True,0,1
49,2025-08-28T13:00:00Z,baseline_close_50,2025-08-28,372999830,373346016,373187377,0x0676801fbfa2cd20bc90129cc980bbc8ddcc784589e622b75e11342111567ddc,2025-08-28T12:59:59Z,373187378,0xff0e32b725540a82e18f95d036b86b0d34331f3cbdfa09a30e4bfc580000d893,2025-08-28T13:00:00Z,True,True,True,0,1
50,2025-08-29T13:00:00Z,baseline_close_51,2025-08-29,373346016,373692235,373533568,0xf7c7a1341698b7086c0365707ee35fe6ed2d8675209492e465b5a45aca376fc9,2025-08-29T12:59:59Z,373533569,0xc11bed2cb7b141bee6ff11bc5ca5274190052320b195594e45841e57e2408700,2025-08-29T13:00:00Z,True,True,True,0,1
51,2025-08-30T13:00:00Z,baseline_close_52,2025-08-30,373692235,374038160,373879730,0xed0c71e00bda5e270f305a345ca4651d48d81b4ca5eed6c4ebe807f57a5adbb0,2025-08-30T12:59:59Z,373879731,0x208b1f072108e5ddd7057e5b5a2d14f8a304030a15b1b8caed11708a24ee1f2d,2025-08-30T13:00:00Z,True,True,True,0,1
52,2025-08-31T13:00:00Z,baseline_close_53,2025-08-31,374038160,374383983,374225636,0xad7a18282e0275208d07a8e4ebda25cec9fec3f86d72c468043840c8b45d986a,2025-08-31T12:59:59Z,374225637,0x3c75a2c04bf0debfa48187a8f24982dcbf9ab783129fb466cdc02c68c7bbf039,2025-08-31T13:00:00Z,True,True,True,0,1
53,2025-09-01T13:00:00Z,baseline_close_54,2025-09-01,374383983,374730012,374571459,0xc980d827823d077a45709a72f539891a64e000af94e78188b91e1e5b293465e3,2025-09-01T12:59:59Z,374571460,0xb5a1d2d959c8d83570e5248f74e873b1b21653557183d3f76f4ce1f4f3d87d55,2025-09-01T13:00:00Z,True,True,True,0,1
54,2025-09-02T13:00:00Z,baseline_close_55,2025-09-02,374730012,375075967,374917434,0x20260f0ab89ee451149efec8174b13d2e7e722190af5af9f03b8232253cbc2f6,2025-09-02T12:59:59Z,374917435,0xe2d957c21efc06d773904e8a294601e9330233486440e52416827c235944b5b4,2025-09-02T13:00:00Z,True,True,True,0,1
55,2025-09-03T13:00:00Z,baseline_close_56;campaign_snapshot_000,2025-09-03,375075967,375421942,375263391,0x774650aca6424cd07cee566e0acc67f392ad67810f84a8358fceb53ea9734c5b,2025-09-03T12:59:59Z,375263392,0x3d9036c78b0ec31dcd23905b390541de05f1e3a7cc153ef6e8e10e1563f3d56e,2025-09-03T13:00:00Z,True,True,True,0,1
56,2025-09-04T13:00:00Z,campaign_snapshot_001,2025-09-04,375421942,375767966,375609473,0x21866a996c84d8b1838589b56cbfec2390fc1c7b8e3e73cc30703bfd6368ef1d,2025-09-04T12:59:59Z,375609474,0x765f9dc6f29bdabc3fdd6ddeac890bcf54d94bfab85715538aa94f5740f4c726,2025-09-04T13:00:00Z,True,True,True,0,1
57,2025-09-05T13:00:00Z,campaign_snapshot_002,2025-09-05,375767966,376113943,375955403,0x9dcdd0476e4665a7040f00f45f089a714d85a45e9c4994dc81ca1b87c575ed9f,2025-09-05T12:59:59Z,375955404,0xb4dc91c532786c29d5365a928f5e29cde9884810ae6d7447a69091968ba43edf,2025-09-05T13:00:00Z,True,True,True,0,1
58,2025-09-06T13:00:00Z,campaign_snapshot_003,2025-09-06,376113943,376459500,376301175,0xae05c9af7c5446e5965d10fb8cda0a807476d202262f705c313205e4a8ca4aa1,2025-09-06T12:59:59Z,376301176,0x27db85334af34d530388cdd03c9ef64dead2a5f5c888291b204020c647e65912,2025-09-06T13:00:00Z,True,True,True,0,1
59,2025-09-07T13:00:00Z,campaign_snapshot_004,2025-09-07,376459500,376805343,376646848,0xb3de5a8ae2f8877efae1154319f25014b80967a29fe9c9e231bfaf17d49e2618,2025-09-07T12:59:59Z,376646849,0x5b0aca9f6889fe4d51c464f02d160c9a05c65b52f6817594c09424fca10e6c40,2025-09-07T13:00:00Z,True,True,True,0,1
60,2025-09-08T13:00:00Z,campaign_snapshot_005,2025-09-08,376805343,377151398,376992821,0x9a08ee69f863f8e458c782f4ddf48099a29d12d0ca28901ba0888454df6473db,2025-09-08T12:59:59Z,376992822,0x4316db3936de58cacc302abb503b086d75ac5ed8093a27603159590367b3f5e0,2025-09-08T13:00:00Z,True,True,True,0,1
61,2025-09-09T13:00:00Z,campaign_snapshot_006,2025-09-09,377151398,377497272,377338837,0x17f9b322805a7dfbb118a872397e4e3acf2c36a83bd4a69dfa08f3e996d47d75,2025-09-09T12:59:59Z,377338838,0x736d69b8694ba1395a35234855ed202e5139e0479747f5aea4e1b1c0a7487843,2025-09-09T13:00:00Z,True,True,True,0,1
62,2025-09-10T13:00:00Z,campaign_snapshot_007,2025-09-10,377497272,377843094,377684596,0x8d60fea947b81e8974f6de94fe059fa8531e55aa593daae3322d092b5f7df69f,2025-09-10T12:59:59Z,377684597,0x3496c8b5da3471ccbc6423ab1c49174d76f2cd2747d8259d431db3975dd9ce27,2025-09-10T13:00:00Z,True,True,True,0,1
63,2025-09-11T13:00:00Z,campaign_snapshot_008,2025-09-11,377843094,378188849,378030512,0x619e69c1f409b1ce2632567230a94cfb97469982d87a54f3f1a1048866044a71,2025-09-11T12:59:59Z,378030513,0x6d5b21a15324f9dede0c2a882682d7e82d139b9948ef7097e60b76bc18fdb2cf,2025-09-11T13:00:00Z,True,True,True,0,1
64,2025-09-12T13:00:00Z,campaign_snapshot_009,2025-09-12,378188849,378534625,378376189,0x2c7767fde4896063b90162616d28fa34791e6a94553710a536fbe909d7bb0c53,2025-09-12T12:59:59Z,378376190,0x732db94052b7ab3a7b7f4c1840bf2f9827092c2ed018ad21282afa6d37c02f8f,2025-09-12T13:00:00Z,True,True,True,0,1
65,2025-09-13T13:00:00Z,campaign_snapshot_010,2025-09-13,378534625,378879826,378721852,0xe6882810d3e72232ee35bad7b15c5b7cbe858b1b2c6877100f009755fab4f6fc,2025-09-13T12:59:59Z,378721853,0xd81a11eb2fd83c9703d71b499080fca603bfab5956a01be0d58f4372e19110fa,2025-09-13T13:00:00Z,True,True,True,0,1
66,2025-09-14T13:00:00Z,campaign_snapshot_011,2025-09-14,378879826,379225098,379066706,0x2c3220d579f1faf2c5142eb01c5e6578794f1f53fd33c56def5e6731adaa06c6,2025-09-14T12:59:59Z,379066707,0x1097ae4c97d9408696a21e518646bf7a0545b71d507a6795fe09d3c43deeba27,2025-09-14T13:00:00Z,True,True,True,0,1
67,2025-09-15T13:00:00Z,campaign_snapshot_012,2025-09-15,379225098,379570726,379412368,0xfc38bed27bf2b1686864ba5535cc561092b45c01920a8308eed959b9de7f19f4,2025-09-15T12:59:59Z,379412369,0x852e528dcf9fc2ecda40756280030d3630153ce6e1691d586c8d951c3b7113bb,2025-09-15T13:00:00Z,True,True,True,0,1
68,2025-09-16T13:00:00Z,campaign_snapshot_013,2025-09-16,379570726,379916165,379757880,0xa32dcf531cf57052968e88d6b76f92cbc75f045e83d0259c994fbdc129652dea,2025-09-16T12:59:59Z,379757881,0xa89f596e92e226e9cad9abd173ef2fddc5537e8b265606ec878a24e3d2be3a58,2025-09-16T13:00:00Z,True,True,True,0,1
69,2025-09-17T13:00:00Z,campaign_snapshot_014,2025-09-17,379916165,380261881,380103382,0x65c271d5e1b547630d251ae1072fa6e5f91289828480a1f05e22532510565667,2025-09-17T12:59:59Z,380103383,0x1e5908d90f39e5947bca2d56259f4d957b3cf4b83590868a259d7b1cf0712891,2025-09-17T13:00:00Z,True,True,True,0,1
70,2025-09-18T13:00:00Z,campaign_snapshot_015,2025-09-18,380261881,380607651,380449199,0x1ea69b40b3f8ff2e6e5a7aab02a925e33e49804f7260d101e39db6f11606b987,2025-09-18T12:59:59Z,380449200,0x16b267891ab31f299b444db2626aabb8e50b8e046f6beba3c41c6ec14ef0ae62,2025-09-18T13:00:00Z,True,True,True,0,1
71,2025-09-19T13:00:00Z,campaign_snapshot_016,2025-09-19,380607651,380953332,380794935,0x6957619692589025222943edb1d82cbbb8d604393e685f15c668677434465a0b,2025-09-19T12:59:59Z,380794936,0xf6c2e3c00fb6d08b923be59b0fbab4272b4f8462e41682833723e8f1ee021686,2025-09-19T13:00:00Z,True,True,True,0,1
72,2025-09-20T13:00:00Z,campaign_snapshot_017,2025-09-20,380953332,381299134,381140691,0xe813ceb2e8f25bfd3cd4b553ea748b10558eb2c98455916c658d5ac90fb00106,2025-09-20T12:59:59Z,381140692,0x922608ab9a87726f47b309d0e37931fe324cc5c4f540f414ad9c7dfd310d9e3d,2025-09-20T13:00:00Z,True,True,True,0,1
73,2025-09-21T13:00:00Z,campaign_snapshot_018,2025-09-21,381299134,381644747,381486377,0xe906252188573ca4ff2642c30f20393e6dc95a986cc4b24450f5b0acd5d0b84d,2025-09-21T12:59:59Z,381486378,0xa70de07c76fff8aa1fcb1b925e12e9c6883edffffbfe91238950bca60c3908f1,2025-09-21T13:00:00Z,True,True,True,0,1
74,2025-09-22T13:00:00Z,campaign_snapshot_019,2025-09-22,381644747,381990792,381832176,0x981a9614d7f2ec037dab6b10c22139964542136b2659a9613df0e40b20b479cc,2025-09-22T12:59:59Z,381832177,0xe8b52674f159da4bc7115e4f2963163a25d73eaf3fc8c9d2a28d7df995e1ec7c,2025-09-22T13:00:00Z,True,True,True,0,1
75,2025-09-23T13:00:00Z,campaign_snapshot_020,2025-09-23,381990792,382337055,382178443,0x5cfa8fe0f46be2eacb4c303d7c7aa3b2c3171f31cb0e31826aa5fb6307e45d94,2025-09-23T12:59:59Z,382178444,0xeebdb7aa122068ec2769db72e96a2cb6a5ee999b677437e71b285cc81345f24e,2025-09-23T13:00:00Z,True,True,True,0,1
76,2025-09-24T13:00:00Z,campaign_snapshot_021,2025-09-24,382337055,382683506,382524780,0x0fd5897d65a066a468a5d3de31481b94bfb2cb4c98aba38e1261a35566f4c98e,2025-09-24T12:59:59Z,382524781,0xd7f28387f5eb923fa0ae07867cc1fe77249d7c261308602ad4e0d7033bff10f1,2025-09-24T13:00:00Z,True,True,True,0,1
